time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.Latitude,.Longitude,.HDOP,.Altitude,.UTM_easting,.UTM_northing,.Zone,.Letter
2023/02/03/10:45:37.773100,150,6785,0,GPS_Frame 1,42.338764833333336,-71.0887185,1.36,16.3,327934.22399062663,4689502.862017434,19,T
2023/02/03/10:45:38.861508,151,6786,0,GPS_Frame 1,42.33876433333333,-71.08871900000001,1.11,16.3,327934.1814357704,4689502.807508044,19,T
2023/02/03/10:45:39.948159,152,6787,0,GPS_Frame 1,42.33876283333334,-71.08871900000001,0.9,16.4,327934.17734432337,4689502.640944439,19,T
2023/02/03/10:45:41.030495,153,6788,0,GPS_Frame 1,42.3387625,-71.08871966666668,1.36,16.4,327934.12151372636,4689502.605279386,19,T
2023/02/03/10:45:42.111357,154,6789,0,GPS_Frame 1,42.33876166666667,-71.08871983333333,0.9,16.4,327934.10551035276,4689502.513081321,19,T
2023/02/03/10:45:43.196634,155,6790,0,GPS_Frame 1,42.33876166666667,-71.08872,1.11,16.3,327934.09178000595,4689502.513418591,19,T
2023/02/03/10:45:44.275531,156,6791,0,GPS_Frame 1,42.33876166666667,-71.08871966666668,0.9,16.1,327934.11924069957,4689502.51274405,19,T
2023/02/03/10:45:45.366715,157,6792,0,GPS_Frame 1,42.338761833333336,-71.08871933333333,1.11,16.0,327934.1471559985,4689502.530576576,19,T
2023/02/03/10:45:46.453314,158,6793,0,GPS_Frame 1,42.3387615,-71.08871866666667,0.9,15.9,327934.2011681774,4689502.492213359,19,T
2023/02/03/10:45:47.527427,159,6794,0,GPS_Frame 1,42.338762333333335,-71.0887185,1.35,15.7,327934.2171715498,4689502.5844114255,19,T
2023/02/03/10:45:48.613960,160,6795,0,GPS_Frame 1,42.3387625,-71.088718,0.85,15.6,327934.2588171968,4689502.601906681,19,T
2023/02/03/10:45:49.698694,161,6796,0,GPS_Frame 1,42.33876283333334,-71.08871783333333,1.15,15.5,327934.27345675346,4689502.6385835465,19,T
2023/02/03/10:45:50.782772,162,6797,0,GPS_Frame 1,42.33876266666666,-71.08871733333334,0.85,15.4,327934.3141931882,4689502.619064667,19,T
2023/02/03/10:45:51.861887,163,6798,0,GPS_Frame 1,42.3387625,-71.0887175,1.06,15.4,327934.3000082367,4689502.600894871,19,T
2023/02/03/10:45:52.949138,164,6799,0,GPS_Frame 1,42.33876133333333,-71.08871683333334,0.85,15.6,327934.35174739,4689502.469996318,19,T
